Distributor_ID,Distributor_Name,Region,State,Distributor_Type,Primary_Sales,Secondary_Sales_Net,Target,Achievement_Pct
DST-0001,Shiv Shakti Enterprises,North,Delhi,Urban Distributor,2287530.67,2231457.96,2669000.0,83.6
DST-0002,Vinayak Marketing,North,Delhi,Key Account Distributor,14126666.68,13695513.94,13559500.0,101.0
DST-0003,Coromandel Sales Corporation,North,Delhi,Urban Distributor,1612769.44,1726854.41,1753000.0,98.5
DST-0004,Sri Venkateswara Traders,North,Delhi,Urban Distributor,2004410.72,2032661.09,2013500.0,101.0
DST-0005,Siddhi Agencies,North,Delhi,Urban Distributor,1571994.95,1578015.32,1748500.0,90.2
DST-0006,Global Traders,North,Delhi,Rural Distributor,1458518.37,1530262.81,1845500.0,82.9
DST-0007,Royal Trading Co.,North,Delhi,Urban Distributor,3960200.21,4074247.19,4400500.0,92.6
DST-0008,Ganesh Associates,North,Haryana,Urban Distributor,1577564.64,1611078.3,1668000.0,96.6
DST-0009,Vindhya Trading Co.,North,Haryana,Key Account Distributor,5932456.06,6224655.97,5833000.0,106.7
DST-0010,Ganga Agencies,North,Haryana,Rural Distributor,919773.01,954158.01,1201000.0,79.4
DST-0011,Sai Krishna Sales Corporation,North,Haryana,Urban Distributor,1182741.72,1297844.72,1779000.0,73.0
DST-0012,Himalaya Distributors,North,Haryana,Rural Distributor,622899.59,623000.26,799000.0,78.0
DST-0013,Anand Agencies,North,Punjab,Urban Distributor,1640709.18,1739083.22,1997250.0,87.1
DST-0014,Shiv Shakti Traders,North,Punjab,Urban Distributor,1442576.84,1424117.69,1662500.0,85.7
DST-0015,Annapurna Trading Co.,North,Punjab,Urban Distributor,1521274.1,1643968.21,2194500.0,74.9
DST-0016,Krishna Agencies,North,Punjab,Urban Distributor,4821041.11,4889281.69,5411500.0,90.3
DST-0017,Coromandel Traders,North,Uttar Pradesh,Urban Distributor,846680.78,860916.35,959000.0,89.8
DST-0018,Mahalaxmi Marketing,North,Uttar Pradesh,Key Account Distributor,7056082.56,7031987.82,6267500.0,112.2
DST-0019,Supreme Marketing,North,Uttar Pradesh,Urban Distributor,1389547.6,1404109.63,1575500.0,89.1
DST-0020,Maa Durga Marketing,North,Uttar Pradesh,Rural Distributor,1741924.55,1835716.08,2031500.0,90.4
DST-0021,Bharat Enterprises,North,Uttar Pradesh,Urban Distributor,1566332.78,1537925.16,1573000.0,97.8
DST-0022,Sri Venkateswara Sales Corporation,North,Uttar Pradesh,Key Account Distributor,4953143.41,4820158.92,5100500.0,94.5
