check_id,Transaction_ID,Transaction_Date,Invoice_No,Distributor_ID,Outlet_ID,SKU_ID,Sales_Type,Quantity,Net_Sales,Salesperson_ID,Month,Secondary_Sales,Snapshot_Date,Opening_Stock,Primary_Received,Sales_Return,Adjustment,Closing_Stock,Collection_ID,Invoice_Amount,Collection_Amount
T-01,TXN00048989,2027-01-15,SI/2122/0000849,DST-0019,OUT-01094,SKU-0036,Secondary,5,939.52,,,,,,,,,,,,
T-01,TXN00099574,2024-13-05,SI/2122/0014356,DST-0069,OUT-04236,SKU-0032,Secondary,8,1855.38,,,,,,,,,,,,
T-01,TXN00135771,31/12/2022,SI/2122/0024487,DST-0018,OUT-01056,SKU-0236,Secondary,5,1358.39,,,,,,,,,,,,
T-01,TXN00162636,2023-02-30,SI/2122/0031859,DST-0097,OUT-05834,SKU-0079,Secondary,3,659.99,,,,,,,,,,,,
T-01,TXN00194510,,SI/2122/0040577,DST-0070,OUT-04297,SKU-0042,Secondary,6,880.27,,,,,,,,,,,,
T-01,TXN00197010,2023-02-30,SI/2122/0041320,DST-0037,OUT-02268,SKU-0212,Secondary,46,3014.24,,,,,,,,,,,,
T-01,TXN00198835,31/12/2022,SI/2122/0041944,DST-0008,OUT-00453,SKU-0194,Secondary,37,1665.79,,,,,,,,,,,,
T-01,TXN00227592,,SI/2223/0001230,DST-0005,OUT-00269,SKU-0220,Secondary,9,1872.12,,,,,,,,,,,,
T-01,TXN00240230,2027-01-15,SI/2223/0004651,DST-0094,OUT-05703,SKU-0016,Secondary,15,2043.29,,,,,,,,,,,,
T-01,TXN00360092,,SI/2223/0037329,DST-0040,OUT-02423,SKU-0199,Secondary,2,461.06,,,,,,,,,,,,
T-01,TXN00368944,2027-01-15,SI/2223/0039721,DST-0060,OUT-03613,SKU-0068,Secondary,66,3707.92,,,,,,,,,,,,
T-01,TXN00381110,31/12/2022,SI/2223/0043362,DST-0092,OUT-05581,SKU-0088,Secondary,19,432.92,,,,,,,,,,,,
T-01,TXN00392689,2023-02-30,SI/2223/0046539,DST-0095,OUT-05710,SKU-0186,Secondary,25,2229.74,,,,,,,,,,,,
T-01,TXN00584943,31/12/2022,SI/2324/0043461,DST-0031,OUT-01918,SKU-0228,Secondary,5,477.12,,,,,,,,,,,,
T-01,TXN00587146,2024-13-05,SI/2324/0044209,DST-0087,OUT-05296,SKU-0060,Secondary,1,421.86,,,,,,,,,,,,
T-01,TXN00601506,2027-01-15,SI/2324/0047999,DST-0080,OUT-04845,SKU-0055,Secondary,14,3173.02,,,,,,,,,,,,
T-01,TXN00632299,,SI/2324/0056490,DST-0052,OUT-03269,SKU-0059,Secondary,4,935.74,,,,,,,,,,,,
T-01,TXN00632487,2024-13-05,SI/2324/0056551,DST-0080,OUT-04856,SKU-0038,Secondary,1,204.31,,,,,,,,,,,,
T-01,TXN00650689,2023-02-30,SI/2425/0001698,DST-0044,OUT-02742,SKU-0068,Secondary,54,3234.03,,,,,,,,,,,,
T-01,TXN00735167,31/12/2022,SI/2425/0024551,DST-0107,OUT-06471,SKU-0236,Secondary,8,2431.94,,,,,,,,,,,,
T-01,TXN00754195,2023-02-30,SI/2425/0029499,DST-0027,OUT-01628,SKU-0119,Secondary,12,2737.82,,,,,,,,,,,,
T-01,TXN00757958,2027-01-15,SI/2425/0030741,DST-0084,OUT-05144,SKU-0133,Secondary,29,2136.57,,,,,,,,,,,,
T-01,TXN00832636,2024-13-05,SI/2425/0051398,DST-0084,OUT-05128,SKU-0093,Secondary,306,2375.32,,,,,,,,,,,,
T-01,TXN00898203,,SI/2526/0003945,DST-0067,OUT-04091,SKU-0149,Secondary,20,1121.49,,,,,,,,,,,,
T-01,TXN00991967,2024-13-05,SI/2526/0029762,DST-0065,OUT-03965,SKU-0045,Secondary,4,1225.78,,,,,,,,,,,,
T-02,TXN01080238,2024-08-07,SI/2425/0021891,DST-0060,OUT-03616,SKU-0001,Secondary,38,1123.16,,,,,,,,,,,,
T-02,TXN01080239,2021-08-12,SI/2122/0015430,DST-0053,OUT-03317,SKU-0185,Secondary,9,422.62,,,,,,,,,,,,
T-02,TXN01080240,2022-03-15,SI/2122/0046033,DST-0065,OUT-03923,SKU-0197,Secondary,32,1634.8,,,,,,,,,,,,
T-02,TXN01080241,2024-07-03,SI/2425/0016001,DST-0090,OUT-05457,SKU-0211,Secondary,30,3759.36,,,,,,,,,,,,
T-02,TXN01080242,2024-11-19,SI/2425/0041469,DST-0047,OUT-02953,SKU-0042,Secondary,6,1007.32,,,,,,,,,,,,
T-02,TXN01080243,2023-10-28,SI/2324/0033948,DST-0110,OUT-06699,SKU-0024,Secondary,6,1128.83,,,,,,,,,,,,
T-02,TXN01080244,2023-06-30,SI/2324/0013784,DST-0049,OUT-03066,SKU-0146,Secondary,12,626.48,,,,,,,,,,,,
T-02,TXN01080245,2021-03-17,SI/2021/0009777,DST-0013,OUT-00767,SKU-0210,Secondary,1,63.15,,,,,,,,,,,,
T-02,TXN01080246,2021-10-18,SI/2122/0025139,DST-0105,OUT-06312,SKU-0171,Secondary,85,1655.53,,,,,,,,,,,,
T-02,TXN01080247,2024-03-14,SI/2324/0057161,DST-0072,OUT-04412,SKU-0001,Secondary,85,2575.68,,,,,,,,,,,,
T-02,TXN01080248,2023-07-20,SI/2324/0017031,DST-0036,OUT-02222,SKU-0143,Secondary,10,1346.92,,,,,,,,,,,,
T-02,TXN01080249,2024-03-30,SI/2324/0059700,DST-0086,OUT-05213,SKU-0080,Secondary,5,2277.91,,,,,,,,,,,,
T-02,TXN01080250,2024-06-22,SI/2425/0014351,DST-0056,OUT-03475,SKU-0143,Secondary,4,597.42,,,,,,,,,,,,
T-02,TXN01080251,2021-04-28,SI/2122/0003095,DST-0072,OUT-04383,SKU-0133,Secondary,7,493.99,,,,,,,,,,,,
T-02,TXN01080252,2021-05-17,SI/2122/0005083,DST-0091,OUT-05479,SKU-0216,Secondary,5,503.86,,,,,,,,,,,,
T-02,TXN01080253,2025-07-11,SI/2526/0019299,DST-0058,OUT-03555,SKU-0200,Secondary,12,774.93,,,,,,,,,,,,
T-02,TXN01080254,2021-09-07,SI/2122/0018989,DST-0051,OUT-03204,SKU-0214,Secondary,10,658.67,,,,,,,,,,,,
T-02,TXN01080255,2022-05-18,SI/2223/0006938,DST-0076,OUT-04634,SKU-0175,Secondary,15,396.62,,,,,,,,,,,,
T-02,TXN01080256,2023-10-28,SI/2324/0033935,DST-0106,OUT-06402,SKU-0185,Secondary,42,2124.51,,,,,,,,,,,,
T-02,TXN01080257,2023-01-24,SI/2223/0044862,DST-0089,OUT-05403,SKU-0222,Secondary,11,2233.67,,,,,,,,,,,,
T-02,TXN01080258,2024-01-10,SI/2324/0046665,DST-0049,OUT-03052,SKU-0139,Secondary,9,720.92,,,,,,,,,,,,
T-02,TXN01080259,2024-07-06,SI/2425/0016774,DST-0073,OUT-04433,SKU-0042,Secondary,11,1896.68,,,,,,,,,,,,
T-02,TXN01080260,2024-12-04,SI/2425/0044305,DST-0108,OUT-06504,SKU-0122,Secondary,3,733.75,,,,,,,,,,,,
T-02,TXN01080261,2023-04-01,SI/2324/0000103,DST-0090,OUT-05441,SKU-0060,Secondary,9,3495.39,,,,,,,,,,,,
T-02,TXN01080262,2021-10-26,SI/2122/0026157,DST-0008,OUT-00476,SKU-0068,Secondary,26,1444.95,,,,,,,,,,,,
T-02,TXN01080263,2024-04-04,SI/2425/0000707,DST-0039,OUT-02384,SKU-0159,Secondary,101,2071.07,,,,,,,,,,,,
T-02,TXN01080264,2024-04-15,SI/2425/0002659,DST-0032,OUT-01965,SKU-0068,Secondary,34,2094.25,,,,,,,,,,,,
T-02,TXN01080265,2025-09-24,SI/2526/0033809,DST-0009,OUT-00547,SKU-0168,Secondary,116,2310.51,,,,,,,,,,,,
T-02,TXN01080266,2025-07-07,SI/2526/0018548,DST-0105,OUT-06356,SKU-0075,Secondary,79,10724.25,,,,,,,,,,,,
T-02,TXN01080267,2025-07-19,SI/2526/0020769,DST-0086,OUT-05216,SKU-0068,Secondary,25,1683.19,,,,,,,,,,,,
T-02,TXN01080268,2024-08-08,SI/2425/0022138,DST-0067,OUT-04074,SKU-0211,Secondary,18,2344.32,,,,,,,,,,,,
T-02,TXN01080269,2022-07-05,SI/2223/0013568,DST-0034,OUT-02088,SKU-0139,Secondary,30,2043.89,,,,,,,,,,,,
T-02,TXN01080270,2025-02-20,SI/2425/0058236,DST-0002,OUT-00110,SKU-0074,Secondary,3,1476.0,,,,,,,,,,,,
T-02,TXN01080271,2025-11-19,SI/2526/0046159,DST-0044,OUT-02736,SKU-0068,Secondary,58,3393.87,,,,,,,,,,,,
T-02,TXN01080272,2024-12-16,SI/2425/0046526,DST-0034,OUT-02101,SKU-0042,Secondary,18,2874.96,,,,,,,,,,,,
T-02,TXN01080273,2023-10-11,SI/2324/0030818,DST-0038,OUT-02292,SKU-0068,Secondary,6,367.29,,,,,,,,,,,,
T-02,TXN01080274,2022-01-17,SI/2122/0038015,DST-0074,OUT-04498,SKU-0042,Secondary,4,605.48,,,,,,,,,,,,
T-02,TXN01080275,2025-09-18,SI/2526/0032831,DST-0065,OUT-03952,SKU-0062,Secondary,47,3089.84,,,,,,,,,,,,
T-02,TXN01080276,2024-02-03,SI/2324/0050521,DST-0108,OUT-06517,SKU-0065,Secondary,107,3564.3,,,,,,,,,,,,
T-02,TXN01080277,2025-03-22,SI/2425/0063905,DST-0044,OUT-02767,SKU-0122,Secondary,8,1779.71,,,,,,,,,,,,
T-02,TXN01080278,2023-11-21,SI/2324/0038228,DST-0090,OUT-05419,SKU-0060,Secondary,11,4480.84,,,,,,,,,,,,
T-02,TXN01080279,2024-07-24,SI/2425/0019490,DST-0056,OUT-03463,SKU-0093,Secondary,40,343.8,,,,,,,,,,,,
T-02,TXN01080280,2024-12-04,SI/2425/0044091,DST-0019,OUT-01090,SKU-0059,Secondary,9,2093.18,,,,,,,,,,,,
T-02,TXN01080281,2025-02-06,SI/2425/0055718,DST-0039,OUT-02410,SKU-0042,Secondary,2,355.74,,,,,,,,,,,,
T-02,TXN01080282,2024-06-20,SI/2425/0013936,DST-0014,OUT-00816,SKU-0088,Secondary,66,1649.29,,,,,,,,,,,,
T-02,TXN01080283,2022-12-24,SI/2223/0040156,DST-0040,OUT-02439,SKU-0154,Secondary,11,730.6,,,,,,,,,,,,
T-02,TXN01080284,2023-04-07,SI/2324/0001230,DST-0024,OUT-01436,SKU-0146,Secondary,23,1160.31,,,,,,,,,,,,
T-02,TXN01080285,2023-02-25,SI/2223/0049859,DST-0070,OUT-04271,SKU-0207,Secondary,17,2408.86,,,,,,,,,,,,
T-02,TXN01080286,2025-09-30,SI/2526/0035055,DST-0084,OUT-05122,SKU-0195,Secondary,52,5094.47,,,,,,,,,,,,
T-02,TXN01080287,2023-11-23,SI/2324/0038664,DST-0104,OUT-06239,SKU-0149,Secondary,18,927.54,,,,,,,,,,,,
T-02,TXN01080288,2025-11-04,SI/2526/0042540,DST-0067,OUT-04048,SKU-0144,Secondary,61,4870.19,,,,,,,,,,,,
T-02,TXN01080289,2021-05-19,SI/2122/0005219,DST-0001,OUT-00020,SKU-0038,Secondary,3,550.8,,,,,,,,,,,,
T-02,TXN01080290,2024-10-23,SI/2425/0036164,DST-0094,OUT-05643,SKU-0016,Secondary,10,1543.71,,,,,,,,,,,,
T-02,TXN01080291,2022-12-27,SI/2223/0040569,DST-0084,OUT-05120,SKU-0119,Secondary,15,3190.56,,,,,,,,,,,,
T-02,TXN01080292,2024-12-07,SI/2425/0044997,DST-0040,OUT-02438,SKU-0185,Secondary,21,1151.51,,,,,,,,,,,,
T-02,TXN01080293,2025-04-10,SI/2526/0002152,DST-0084,OUT-05154,SKU-0042,Secondary,21,3490.36,,,,,,,,,,,,
T-02,TXN01080294,2025-10-14,SI/2526/0038268,DST-0113,OUT-06866,SKU-0051,Secondary,2,438.79,,,,,,,,,,,,
T-02,TXN01080295,2021-10-19,SI/2122/0025196,DST-0026,OUT-01586,SKU-0146,Secondary,45,1955.16,,,,,,,,,,,,
T-02,TXN01080296,2021-07-30,SI/2122/0013510,DST-0015,OUT-00879,SKU-0138,Secondary,7,1610.49,,,,,,,,,,,,
T-02,TXN01080297,2024-02-12,SI/2324/0051967,DST-0052,OUT-03265,SKU-0033,Secondary,19,1412.12,,,,,,,,,,,,
